seed,tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,checksum
42,random,balanced,6600,50000,7408,42592,6.266,0.925,20.136,0.171,193.912,21.764,209.59,559696,33000,403112,73107
42,random,balanced,6700,50000,7628,42372,6.593,0.943,15.908,0.17,247.017,16.875,262.032,562732,33500,409212,69201
42,random,balanced,6800,50000,7404,42596,7.287,0.933,15.73,0.18,207.922,16.854,222.781,583232,34000,415312,68233
42,random,balanced,6900,50000,7675,42325,7.173,0.932,15.33,0.179,145.553,16.454,156.223,579444,34500,421412,67121
42,random,balanced,7000,50000,7494,42506,6.96,0.964,32.725,0.6,228.161,33.955,236.731,615160,35000,427512,72944
42,random,balanced,7100,50000,7367,42633,16.123,1.872,25.927,0.188,184.654,13.847,98.619,172032,35500,433612,74693
42,random,balanced,7200,50000,7529,42471,7.275,0.96,18.13,0.279,185.262,18.893,193.062,621040,36000,439712,70484
42,random,balanced,7300,50000,7545,42455,17.606,1.768,17.892,0.21,210.341,10.117,118.937,617836,36500,445812,71721
42,random,balanced,7400,50000,7680,42320,9.47,0.951,17.729,0.189,150.028,18.636,157.708,626496,37000,451912,72487
42,random,balanced,7500,50000,7488,42512,13.085,1.727,31.608,0.459,270.279,18.301,156.493,180224,37500,458012,73391
42,random,balanced,7600,50000,7506,42494,16.269,2.111,44.682,0.271,192.852,21.166,91.356,648056,38000,464112,81249
42,random,balanced,7700,50000,7556,42444,15.937,1.183,30.361,0.162,212.383,25.674,179.59,661748,38500,470212,73820
42,random,balanced,7800,50000,7409,42591,17.836,2.21,43.726,0.457,230.745,19.783,104.395,966656,39000,476312,82287
42,random,balanced,7900,50000,7538,42462,16.222,1.366,36.782,0.382,267.126,26.929,195.568,696404,39500,482412,79427
