tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,7500,50000,7490.0,42510.0,16.469,3.661,40.905,0.337,323.148,10.923,91.694,812076.0,37500.0,458012.0,11.592999999999998,3.6206666666666667,41.54566666666667,1.4694131481649408,0.5206729619764535,3.185688204035878
path,balanced,7600,50000,7411.0,42589.0,16.485,2.9,40.108,0.214,325.541,15.748,107.934,823776.0,38000.0,464112.0,15.159999999999998,2.7076666666666664,40.123999999999995,2.4681031177809407,0.6318499294400006,5.543017319114201
path,balanced,7700,50000,7463.0,42537.0,17.998,3.179,40.818,0.31,317.6,13.135,96.063,835476.0,38500.0,470212.0,12.749666666666668,3.266666666666667,41.46633333333333,1.1609932529232603,0.26654142892491073,1.7575956114343665
path,balanced,7800,50000,7517.0,42483.0,16.683,3.059,41.861,0.454,329.782,13.686,105.696,847176.0,39000.0,476312.0,14.285333333333334,3.063,43.69899999999999,1.720174506651385,0.05510898293381951,4.516770084916877
path,balanced,7900,50000,7520.0,42480.0,17.082,2.955,39.606,0.449,330.455,13.693,111.438,192512.0,39500.0,482412.0,15.320666666666666,3.173,47.546,5.594978492660479,0.4332932032700261,13.964326550177777
path,balanced,8000,50000,7486.0,42514.0,18.263,3.464,41.587,0.366,342.456,11.038,95.539,870576.0,40000.0,488512.0,11.694333333333333,3.796666666666667,43.86833333333334,1.3102138502295455,0.8625365692730561,7.0543139519965585
path,balanced,8100,50000,7483.0,42517.0,17.545,3.208,45.019,0.346,336.42,11.726,104.856,882276.0,40500.0,494612.0,12.634,3.5403333333333333,44.273666666666664,1.6759319795266145,0.68037220205806,6.314079690131676
path,balanced,8200,50000,7425.0,42575.0,17.543,3.138,40.692,0.422,342.279,12.715,109.079,894048.0,41000.0,533512.0,11.926333333333332,3.582333333333333,41.803333333333335,1.7277341616502615,0.8009870993551226,2.6425020971294098
path,balanced,8300,50000,7470.0,42530.0,17.634,2.906,47.36,0.418,373.704,16.671,122.634,906548.0,41500.0,540012.0,16.425666666666668,2.9150000000000005,47.85666666666666,0.9140362866611658,0.1646845469374708,3.333863274541017
path,balanced,8400,50000,7478.0,42522.0,17.481,3.076,42.829,0.344,346.704,13.925,112.692,919048.0,42000.0,546512.0,13.297666666666666,3.0420000000000003,40.62866666666667,1.467286384225429,0.18535371590556257,6.771159895714572
path,balanced,8500,50000,7461.0,42539.0,18.007,3.127,37.178,0.338,365.578,13.017,116.921,931548.0,42500.0,553012.0,12.614666666666666,3.045,38.33533333333333,0.8347013437950928,0.19536376327251675,2.04888612014756
